"outcome","model","coef_p401","se_p401","p_value"
"net_tfa","OLS",14520.1314741381,1371.45739364986,4.69973472281033e-26
"net_tfa","2SLS",13086.8491619588,1836.23365448811,1.09739066282943e-12
"net_n401","OLS",778.336835327051,1325.00185580065,0.556932918540619
"net_n401","2SLS",-354.928000726071,1774.00236448212,0.841428471593024
"tw","OLS",10693.9233629342,2158.97377732174,7.4193612288537e-07
"tw","2SLS",9258.74104236018,2890.53823880349,0.00136377904700489
