"educ_group","n","avg_treatment_effect","median_treatment_effect"
"College or more",730,10350.9800231453,9277.70124897732
"High school",1164,10445.8709682513,7146.71295155763
"Less than high school",381,12675.3046537885,10365.0642032443
"Some college",699,10739.682139314,7137.76713553515
