"inc_group","n","avg_treatment_effect","median_treatment_effect"
"<10k",181,9861.57251031367,6151.77021567784
"10-20k",574,8889.44364404959,6043.44601532246
"20-30k",597,10324.3273009024,6464.17106993181
"30-40k",557,12187.8308922935,9281.28947344964
"40-50k",361,14041.4052312484,10561.8938644334
"50-75k",474,10895.4840047501,10147.9891234707
">75k",230,8601.74314776025,8689.40826789125
