"income_group","n","ate"
"<10k",181,11681.1951691704
"10-20k",574,11929.117426562
"20-30k",597,12415.6467193776
"30-40k",557,11728.9050792199
"40-50k",361,10681.0044608444
"50-75k",474,8881.64462700271
">75k",230,4279.3433363275
